"job_name","job_salary","job_area","work_year","education","com_name","com_type","finance_stage","com_size","job_benefits"
"Python工程师","20k-35k","北京 朝阳区 小关","3-5年","本科","好巧网","互联网","B轮","100-499人"
"Python讲师","15k-25k","北京 海淀区 上地","1年以内","大专","百知教育","在线教育","A轮","100-499人"
"python工程师","15k-25k","北京 海淀区 苏州街","3-5年","本科","汽车之家","互联网","已上市","1000-9999人"
"Python","11k-18k","北京 海淀区 学院路","3-5年","本科","指动科技","发布于12月18日","招聘者","100-499人"
"高级python工程师","20k-35k","北京 海淀区 四季青","5-10年","本科","首都在线","互联网","C轮","500-999人"
"python开发","25k-45k","北京 海淀区 上地","3-5年","本科","滴滴出行","移动互联网","D轮及以上","10000人以上"
"Python","5k-6k","北京 海淀区 五道口","3-5年","本科","奥国","培训机构","天使轮","0-20人"
"python脚本编写","14k-18k","北京 顺义区 马坡","3-5年","本科","软通动力","计算机软件","已上市","10000人以上"
"Python","25k-50k","北京 海淀区 马连洼","1年以内","本科","百度","互联网","已上市","10000人以上"
"Python","40k-50k","北京 朝阳区 望京","5-10年","本科","阿里集团","移动互联网","已上市","10000人以上"
"Python工程师","25k-50k","北京 朝阳区 酒仙桥","3-5年","本科","DNV音乐集团","音乐/视频/阅读","A轮","100-499人"
"Python 工程师","30k-60k","北京 朝阳区 三元桥","5-10年","本科","裕木","生活服务","B轮","100-499人"
"Python工程师","20k-35k","北京 朝阳区 朝外","1-3年","本科","小豆云联","互联网","未融资","100-499人"
"Lead Python Engineer","35k-44k","北京 朝阳区 亮马桥","5-10年","本科","FreeWheel","互联网","已上市","500-999人"
"高级Python工程师","18k-25k","北京 朝阳区 建国路","3-5年","本科","和信信息","互联网金融","已上市","10000人以上"
"python讲师","20k-38k","北京","1-3年","本科","光环国际","在线教育","已上市","500-999人"
"Python工程师","20k-30k","北京 海淀区 牡丹园","5-10年","本科","GeneDock","医疗健康","B轮","20-99人"
"Python高级工程师","8k-16k","北京","经验不限","本科","北京享睡科技有限公司","移动互联网","天使轮","100-499人"
"Python","15k-25k","北京 朝阳区 高碑店","1-3年","本科","掌阅科技","互联网","已上市","500-999人"
"Python","30k-50k","北京 海淀区 双榆树","1-3年","本科","今日头条","移动互联网","D轮及以上","10000人以上"
"python工程师","20k-40k","北京 朝阳区 太阳宫","3-5年","本科","老虎集团","互联网","C轮","100-499人"
"python高级讲师","20k-25k","北京 昌平区 马池口","5-10年","大专","积云教育","在线教育","未融资","100-499人"
"python工程师","25k-40k","北京 朝阳区 酒仙桥","5-10年","本科","DNV音乐集团","音乐/视频/阅读","A轮","100-499人"
"python脚本工程师","8k-12k","北京 顺义区 马坡","3-5年","本科","银信科技","计算机软件","已上市","500-999人"
"Python工程师","20k-40k","北京 朝阳区 三元桥","3-5年","本科","米可世界","互联网","A轮","100-499人"
"Python工程师","25k-50k","北京 朝阳区 潘家园","3-5年","本科","诸葛找房网","移动互联网","B轮","100-499人"
"python开发工程师","28k-40k","北京 海淀区 北京大学","3-5年","本科","曼基朗","计算机软件","不需要融资","100-499人"
"Python工程师","20k-40k","北京 朝阳区 太阳宫","经验不限","本科","小豆云联","互联网","未融资","100-499人"
